payment_id,order_id,payment_mode,amount
1,1,Credit Card,1150.49
2,2,UPI,1036.56
3,3,UPI,850.52
4,4,Cash on Delivery,115.75
5,5,UPI,623.84
6,6,UPI,1331.2
7,7,Debit Card,1179.57
8,8,Credit Card,426.14
9,9,Debit Card,187.78
10,10,Debit Card,455.98
11,11,Wallet,153.21
12,12,Cash on Delivery,254.82
13,13,UPI,579.0
14,14,Wallet,1162.17
15,15,UPI,901.25
16,16,UPI,1080.99
17,17,Credit Card,200.48
18,18,Cash on Delivery,242.9
19,19,UPI,1397.1
20,20,Cash on Delivery,1414.05
21,21,Credit Card,494.46
22,22,UPI,497.34
23,23,Wallet,367.99
24,24,Wallet,1421.68
25,25,Debit Card,1194.62
26,26,UPI,1047.06
27,27,Credit Card,1133.35
28,28,Cash on Delivery,857.15
29,29,UPI,1435.71
30,30,Wallet,651.47
31,31,Debit Card,1018.7
32,32,Credit Card,1394.5
33,33,UPI,298.37
34,34,Debit Card,1247.86
35,35,Credit Card,208.99
36,36,UPI,774.79
37,37,UPI,149.45
38,38,Wallet,142.03
39,39,Wallet,1279.4
40,40,Cash on Delivery,189.75
41,41,UPI,295.74
42,42,Cash on Delivery,572.46
43,43,Wallet,336.49
44,44,Cash on Delivery,1195.06
45,45,Credit Card,1123.26
46,46,Debit Card,414.74
47,47,Cash on Delivery,972.57
48,48,UPI,108.27
49,49,Debit Card,833.92
50,50,Cash on Delivery,1255.45
51,51,Credit Card,184.93
52,52,Cash on Delivery,188.53
53,53,Wallet,299.56
54,54,Wallet,1195.78
55,55,Cash on Delivery,1181.09
56,56,Debit Card,188.95
57,57,Cash on Delivery,319.68
58,58,Debit Card,164.0
59,59,UPI,1180.67
60,60,Debit Card,938.57
61,61,Debit Card,971.89
62,62,Cash on Delivery,463.63
63,63,Wallet,685.45
64,64,Cash on Delivery,868.15
65,65,UPI,245.64
66,66,Cash on Delivery,479.42
67,67,Credit Card,1345.61
68,68,Wallet,396.2
69,69,Debit Card,671.07
70,70,Credit Card,917.19
71,71,Cash on Delivery,866.43
72,72,Cash on Delivery,987.45
73,73,Debit Card,303.29
74,74,Wallet,1197.55
75,75,Credit Card,486.72
76,76,Wallet,784.23
77,77,UPI,1273.13
78,78,Wallet,233.51
79,79,Cash on Delivery,256.47
80,80,UPI,715.6
81,81,UPI,507.1
82,82,Credit Card,944.55
83,83,Cash on Delivery,1307.77
84,84,Credit Card,430.63
85,85,Debit Card,745.74
86,86,Debit Card,1316.49
87,87,Credit Card,1529.89
88,88,UPI,1083.99
89,89,Credit Card,263.77
90,90,Credit Card,360.11
91,91,UPI,777.44
92,92,UPI,576.55
93,93,Credit Card,547.56
94,94,Cash on Delivery,963.33
95,95,UPI,251.17
96,96,Cash on Delivery,816.62
97,97,Debit Card,1128.05
98,98,Debit Card,1521.8
99,99,Debit Card,540.14
100,100,Cash on Delivery,309.13
101,101,Wallet,236.07
102,102,Credit Card,414.56
103,103,Wallet,828.61
104,104,Wallet,1489.27
105,105,UPI,822.87
106,106,Debit Card,958.52
107,107,Wallet,1514.36
108,108,Cash on Delivery,324.17
109,109,Wallet,183.16
110,110,UPI,888.87
111,111,UPI,948.6
112,112,Credit Card,255.08
113,113,UPI,1216.51
114,114,Credit Card,413.4
115,115,Credit Card,1136.93
116,116,Cash on Delivery,1425.22
117,117,Wallet,1191.4
118,118,Wallet,1313.8
119,119,UPI,1110.16
120,120,Cash on Delivery,370.46
121,121,UPI,166.54
122,122,Wallet,369.97
123,123,Debit Card,632.89
124,124,UPI,259.64
125,125,Credit Card,1397.22
126,126,Wallet,639.85
127,127,Cash on Delivery,1504.65
128,128,Cash on Delivery,777.57
129,129,Cash on Delivery,231.48
130,130,UPI,431.1
131,131,Cash on Delivery,1441.87
132,132,Debit Card,744.97
133,133,Debit Card,1187.45
134,134,UPI,306.23
135,135,Wallet,1204.0
136,136,Credit Card,1517.85
137,137,UPI,827.55
138,138,Debit Card,798.69
139,139,Cash on Delivery,978.01
