order_id,customer_id,restaurant_id,partner_id,order_time,delivered_time,order_amount,delivery_fee,status
1,297,22,10,2024-06-23 20:41:33,2024-06-23 21:39:33,1112.3,38.19,Delivered
2,485,75,44,2024-03-20 22:53:03,2024-03-20 23:19:03,1011.97,24.59,Delivered
3,28,37,125,2023-03-06 02:06:03,2023-03-06 02:42:03,797.95,52.57,Delivered
4,136,79,72,2023-08-02 18:25:07,2023-08-02 19:17:07,100.17,15.58,Delivered
5,606,95,39,2024-05-26 23:33:06,2024-05-27 00:50:06,605.07,18.77,Delivered
6,242,63,47,2024-09-12 21:22:27,2024-09-12 22:49:27,1304.06,27.14,Delivered
7,149,77,40,2024-10-12 14:15:38,2024-10-12 15:38:38,1148.92,30.65,Delivered
8,677,57,186,2024-05-10 05:15:11,2024-05-10 05:56:11,379.42,46.72,Delivered
9,658,34,194,2024-09-28 13:09:55,2024-09-28 13:43:55,154.58,33.2,Delivered
10,488,96,193,2024-12-17 11:53:12,2024-12-17 13:21:12,411.8,44.18,Delivered
11,269,19,136,2024-11-06 23:09:10,2024-11-07 00:24:10,96.85,56.36,Delivered
12,695,41,136,2024-06-14 09:44:13,2024-06-14 10:09:13,218.26,36.56,Delivered
13,865,56,157,2024-12-14 01:32:36,2024-12-14 02:26:36,555.65,23.35,Delivered
14,671,75,101,2023-12-25 03:41:13,2023-12-25 04:31:13,1122.73,39.44,Delivered
15,346,87,177,2023-05-20 17:53:22,,857.61,43.64,Cancelled
16,13,53,26,2024-02-12 23:38:08,2024-02-13 00:11:08,1053.41,27.58,Delivered
17,258,25,9,2023-01-19 09:48:31,,160.77,39.71,Cancelled
18,223,77,164,2023-04-05 14:19:57,2023-04-05 14:54:57,202.67,40.23,Delivered
19,783,83,145,2024-09-15 20:44:03,2024-09-15 21:27:03,1352.32,44.78,Delivered
20,479,85,20,2024-05-11 03:43:54,2024-05-11 05:01:54,1390.23,23.82,Delivered
21,926,86,198,2024-08-21 04:04:12,2024-08-21 05:05:12,445.42,49.04,Delivered
22,64,49,100,2023-09-16 09:08:01,2023-09-16 09:35:01,446.7,50.64,Delivered
23,72,63,52,2024-04-19 00:51:06,2024-04-19 02:01:06,333.39,34.6,Delivered
24,788,56,56,2024-04-21 21:09:40,2024-04-21 21:42:40,1375.91,45.77,Delivered
25,75,10,147,2024-07-19 02:25:28,2024-07-19 03:17:28,1183.68,10.94,Delivered
26,669,82,1,2024-12-25 14:23:58,2024-12-25 14:47:58,1023.74,23.32,Delivered
27,927,51,148,2023-01-03 21:02:34,2023-01-03 22:27:34,1084.8,48.55,Delivered
28,414,94,200,2024-09-22 21:54:56,,846.98,10.17,Pending
29,838,100,124,2023-04-05 03:23:59,2023-04-05 04:51:59,1407.76,27.95,Delivered
