rating_id,order_id,customer_rating,feedback
1,1,2.1,Will order again
2,2,2.2,Best biryani ever
3,4,5.0,Quick delivery
4,5,1.1,Packaging was poor
5,7,2.6,Quick delivery
6,8,2.7,Delivery was late
7,9,2.4,Amazing taste
8,10,4.5,Packaging was poor
9,11,3.2,Food was cold
10,12,2.2,Excellent service
11,13,3.8,Packaging was poor
12,18,4.7,Hot and fresh delivery
13,19,2.6,Delivery was late
14,20,4.9,Hot and fresh delivery
15,21,1.5,Average experience
16,22,4.1,Delivery was late
17,23,2.0,Food was cold
18,24,1.2,Great food!
19,27,3.9,Great food!
20,29,4.9,Hot and fresh delivery
21,30,1.3,Food was cold
22,31,2.7,Delivery was late
23,32,1.5,Hot and fresh delivery
24,33,3.5,Average experience
25,34,4.2,Best biryani ever
26,35,2.0,Average experience
27,37,1.9,Hot and fresh delivery
28,39,4.0,Quick delivery
29,40,1.6,Best biryani ever
30,41,1.2,Quick delivery
31,42,4.1,Excellent service
32,43,2.2,Food was cold
33,44,1.6,Great food!
34,45,4.5,Great food!
35,46,3.8,Amazing taste
36,48,3.3,Delivery was late
37,49,2.0,Hot and fresh delivery
38,51,1.2,Hot and fresh delivery
39,53,4.8,Best biryani ever
40,54,3.2,Food was cold
41,55,4.9,Wrong item delivered
42,56,4.9,Best biryani ever
43,58,5.0,Excellent service
44,60,4.8,Best biryani ever
45,61,4.2,Delivery was late
46,64,4.6,Amazing taste
47,65,1.7,Excellent service
48,66,3.7,Will order again
49,68,4.8,Packaging was poor
50,69,2.0,Hot and fresh delivery
51,70,2.4,Great food!
52,71,1.4,Excellent service
53,72,1.3,Best biryani ever
54,73,4.0,Food was cold
55,74,3.7,Amazing taste
56,78,4.8,Average experience
57,79,3.0,Amazing taste
58,82,4.8,Will order again
59,84,3.7,Will order again
60,87,2.0,Average experience
61,88,2.3,Food was cold
62,90,4.6,Amazing taste
63,94,3.1,Packaging was poor
64,95,2.5,Food was cold
65,98,4.8,Best biryani ever
66,102,2.4,Wrong item delivered
67,103,4.6,Hot and fresh delivery
68,105,4.1,Best biryani ever
69,106,3.8,Wrong item delivered
70,107,3.3,Food was cold
71,108,1.6,Food was cold
72,110,3.1,Will order again
73,115,2.7,Amazing taste
74,116,1.7,Average experience
75,117,3.7,Amazing taste
76,118,3.5,Excellent service
77,119,2.1,Delivery was late
78,120,4.5,Quick delivery
79,121,2.8,Packaging was poor
80,122,1.8,Quick delivery
81,123,4.8,Quick delivery
82,124,3.4,Will order again
83,126,4.4,Average experience
84,128,2.4,Will order again
85,131,4.8,Excellent service
86,132,4.4,Great food!
87,136,1.6,Average experience
88,137,1.9,Packaging was poor
89,138,3.2,Delivery was late
90,139,1.2,Quick delivery
91,140,3.4,Excellent service
92,142,2.2,Packaging was poor
93,143,2.6,Best biryani ever
94,144,4.1,Quick delivery
95,146,2.9,Best biryani ever
96,147,2.9,Excellent service
97,148,4.1,Amazing taste
98,150,2.9,Amazing taste
99,151,4.0,Packaging was poor
100,152,4.4,Delivery was late
101,153,3.6,Quick delivery
102,154,3.2,Excellent service
103,155,1.8,Amazing taste
104,156,3.6,Wrong item delivered
105,157,3.3,Delivery was late
106,158,3.1,Packaging was poor
107,161,3.7,Average experience
108,162,2.3,Food was cold
109,163,1.3,Great food!
110,164,4.8,Average experience
111,165,4.2,Food was cold
112,168,5.0,Average experience
113,169,4.4,Will order again
114,170,4.5,Best biryani ever
115,172,2.6,Will order again
116,175,3.1,Quick delivery
117,176,4.0,Wrong item delivered
118,177,3.5,Excellent service
119,178,4.1,Will order again
120,181,2.0,Great food!
121,182,3.1,Packaging was poor
122,183,4.1,Food was cold
123,187,3.6,Great food!
124,189,1.1,Amazing taste
125,191,1.9,Will order again
126,193,4.3,Best biryani ever
127,195,2.8,Great food!
128,197,2.1,Amazing taste
129,198,4.4,Excellent service
